Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3H2W,AGPE AUTO ROBLE LTDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-02-01,OPERACION,2024-05-13
Sistema,3H31,AGPE HYR DISTRIBUCIONES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-02-02,OPERACION,2024-05-13
Sistema,3H5W,AGPE INVERSIONES SAN GABRIEL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-02-16,OPERACION,2024-05-13
Sistema,3H5Y,AGPE SUMINTEGRALES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-02-16,OPERACION,2024-05-13
Sistema,3H61,AGPE EDS EL EDEN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-02-16,OPERACION,2024-05-13
Sistema,3H7S,AGPE FARMACOS DE LA COSTA LTDA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-02-23,OPERACION,2024-05-13
Sistema,3H9C,AGPE JUAN CARLOS VILARINO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-02-23,OPERACION,2024-05-13
Sistema,3H9E,AGPE INVERSIONES MIL VARIEDADES SEDE 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-02-23,OPERACION,2024-05-13
Sistema,3HBJ,AGPE COLEGIO BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2023-03-02,OPERACION,2024-05-13
Sistema,3HBL,AGPE INVERSIONES SANTA FE SEDE II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-03-02,OPERACION,2024-05-13
Sistema,3HBN,TIERRA LINDA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2023-04-04,OPERACION,2024-05-13
Sistema,3HBP,LA TOLUA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2023-04-04,OPERACION,2024-05-13
Sistema,3HBR,AGPE GATO DUMAS BOGOTA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIAC,RAD SOLAR,2023-03-02,OPERACION,2024-05-13
Sistema,3HBT,AGPE HERMECO2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NRCC,RAD SOLAR,2023-03-02,OPERACION,2024-05-13
Sistema,3HDE,SAN BARTOLOME,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,PSBG,AGUA,2023-05-14,OPERACION,2024-05-13
Sistema,3HDG,OIBITA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,PSBG,AGUA,2023-05-14,OPERACION,2024-05-13
Sistema,3HE4,AGPE INVERSIONES LJC SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIAC,RAD SOLAR,2023-03-16,OPERACION,2024-05-13
Sistema,3HE8,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2023-04-30,OPERACION,2024-05-13
Sistema,3HF5,FUNDACION,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ENDG,RAD SOLAR,2023-02-28,PRUEBAS,2024-05-13
Sistema,3HF7,CELSIA SOLAR LA VICTORIA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-30,OPERACION,2024-05-13
Sistema,3HF9,CELSIA SOLAR LA VICTORIA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-30,OPERACION,2024-05-13
Sistema,3HFV,AGPE COMERCIPOL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-03-23,OPERACION,2024-05-13
Sistema,3HG5,AGPE OIKOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NRCC,RAD SOLAR,2023-03-23,OPERACION,2024-05-13
Sistema,3HG7,COMUNIDAD EL SALVADOR I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2023-03-24,OPERACION,2024-05-13
Sistema,3HG9,COMUNIDAD EL SALVADOR II,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2023-03-24,OPERACION,2024-05-13
Sistema,3HGI,AGPE CENTRO ADMINISTRATIVO FASE I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RTQC,RAD SOLAR,2023-03-30,OPERACION,2024-05-13
Sistema,3HH7,AGPE NUTRIAVICOLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,CETC,RAD SOLAR,2023-03-30,OPERACION,2024-05-13
Sistema,3HH9,AGPE TVAPAN 500 SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,CETC,RAD SOLAR,2023-03-30,OPERACION,2024-05-13
Sistema,3HIA,AGPE SFV FLORES DE BRITANIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-04-06,OPERACION,2024-05-13
Sistema,3HJE,AGPE EDFICIO CARRERA SEPTIMA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-04-13,OPERACION,2024-05-13
Sistema,3HKK,AGPE LA FABRICA DE LA FELICIDAD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2023-04-20,OPERACION,2024-05-13
Sistema,3HL2,AGPE CC EL DIAMANTE CLL 52 107,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIAC,RAD SOLAR,2023-04-20,OPERACION,2024-05-13
Sistema,3HL9,AGPE ARA BARRANQUILLA CHIQUINQUIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-04-27,OPERACION,2024-05-13
Sistema,3HLB,AGPE ARA SOLEDAD MANUELA BELTRAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-04-27,OPERACION,2024-05-13
Sistema,3HLD,LOS GIRASOLES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,PSGG,RAD SOLAR,2023-08-05,OPERACION,2024-05-13
Sistema,3HQW,AGPE SOCIEDAD DE ONCOLOGIA Y HEMATOLOGIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-05-11,OPERACION,2024-05-13
Sistema,3HQY,AGPE GEORGES NOBLE SCHOOL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-05-15,OPERACION,2024-05-13
Sistema,3HR1,AGPE RESTAURANTE GUACARI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-05-15,OPERACION,2024-05-13
Sistema,3HRC,AGPE CENTRO COMERCIAL PUNTO CLAVE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2023-05-18,OPERACION,2024-05-13
Sistema,3HRU,AGPE EDIFICIO CITY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2023-05-18,OPERACION,2024-05-13
Sistema,3HS5,AGPE TAPUSH,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-05-25,OPERACION,2024-05-13
Sistema,3HS7,AGPE LAVANDERIA SUPER,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,QIEC,RAD SOLAR,2023-05-25,OPERACION,2024-05-13
Sistema,3HS9,AUTOG BUGA I SOLLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2023-06-16,OPERACION,2024-05-13
Sistema,3HTH,AGPE MERCADEO Y MODA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-06-01,OPERACION,2024-05-13
Sistema,3HTJ,AGPE DIOCESIS JARDINES DEL ECCE HOMO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-06-01,OPERACION,2024-05-13
Sistema,3HTL,AGPE LACTEOS RIOGRANDE SEDE PLATO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-06-01,OPERACION,2024-05-13
Sistema,3HTN,AGPE FOTOLITO CENTRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-06-01,OPERACION,2024-05-13
Sistema,3HWK,AGPE EL ENCANTO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NMRG,RAD SOLAR,2023-06-08,OPERACION,2024-05-13
Sistema,3HWM,PETALO DEL MAGDALENA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-05,OPERACION,2024-05-13
Sistema,3HYG,URUACO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,DEPG,RAD SOLAR,2023-06-18,OPERACION,2024-05-13
Sistema,3I3I,AGPE CORPORACION EMPRESARIAL CARRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I3K,AGPE DELIPAVO TENJO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I3M,AGPE COLEGIO LA MEDALLA MILAGROSA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I3O,AGPE EDIFICIO DUBO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I3Q,AGPE SURTITODO PALMIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I4A,AGPE ARMENIA HOTEL SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I4C,AGPE ICOLTRANS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2023-07-06,OPERACION,2024-05-13
Sistema,3I6L,AGPE COMERCIALIZADORA BZUL SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I6N,AGPE MGL INVERSIONES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I6P,AGPE CONSTRUCTORA LINDARAJA SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I6R,AGPE CFZ MEDICINA ESTETICA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I6V,AGPE EL CARRIEL FUNZA 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I6X,AGPE NELSON SEGUNDO GNECCO CERCHIARO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I71,AGPE COOTRASUR FLORIDABLANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3I73,AGPE BOLTEN BARRANQUILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-07-13,OPERACION,2024-05-13
Sistema,3ICX,AGPE MGL INVERSIONES SAS II,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ICZ,AGPE EVERARDO ARMENTA ALONSO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID2,AGPE EDS TAYRONA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID4,AGPE ROSANA CARRILLO MONSALVO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3ID6,AGPE SOFITEL CASA LOMA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIAC,RAD SOLAR,2023-07-27,OPERACION,2024-05-13
Sistema,3II2,AGPE JESUALDO MORELLI SOCARRAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II4,AGPE VASQUEZ LLINAS DESING SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II6,AGPE MI FUTURO DON CAMPO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3II8,AGPE CELMIRA GALVIS FAJARDO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIA,AGPE DISTRIBUIDORA Y COMERCIALIZADORA SALEM,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIC,AGPE YOLANDA BAUTE CASTRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIE,AGPE INVERSIONES LAS MARIAS SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIG,AGPE INVERSIONES LUJO SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3III,AGPE JAVIER DARIO MONSALVO BOLIVAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIK,AGPE CLAUDIA MARCELA OTALORA MAHECHA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIM,AGPE JESUS ANTONIO BALLESTEROS GALVIS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIO,AGPE VIVA MAYALES SAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIQ,AGPE PLANTA LUBRICANTES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIT,AGPE MIL VARIEDADES I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IIV,AGPE COLEGIO BERCHMANS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2023-08-10,OPERACION,2024-05-13
Sistema,3IJF,AUTOG COSTAYACO,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,DEPG,GAS,2023-09-04,OPERACION,2024-05-13
Sistema,3IML,AGPE BODYTECH COLINA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-08-31,OPERACION,2024-05-13
Sistema,3IMN,AGPE BODYTECH CHAPINERO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-08-31,OPERACION,2024-05-13
Sistema,3INT,AGPE JOSE ALFREDO GNECCO ZULETA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-07,OPERACION,2024-05-13
Sistema,3INX,CARACOLI I,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SDCG,RAD SOLAR,2023-07-31,PRUEBAS,2024-05-13
Sistema,3IOY,AGPE NORMANDY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP1,AGPE FLORES DEL ZORRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP3,AGPE LUZ MILA MORELLI SOCARRAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP5,AGPE INVERSIONES VILLA ROSA DEL CESAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IP7,AGPE ALCIELO CONSTRUCTORA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IQ2,AGPE LA CALI PRINCIPAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-09-14,OPERACION,2024-05-13
Sistema,3IQA,SUNNORTE,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,GNSG,RAD SOLAR,2022-12-31,PRUEBAS,2024-05-13
Sistema,3IRI,ITUANGO_P,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,2022-12-31,PRUEBAS,2024-05-13
Sistema,3IRX,PORTON DEL SOL,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,PDSG,RAD SOLAR,2024-03-08,OPERACION,2024-05-13
Sistema,3IRZ,LA CASCADA DE GRANADA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SFEG,AGUA,2023-09-30,OPERACION,2024-05-13
Sistema,3IS2,PARQUE SOLAR ARENAL,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,NTCG,RAD SOLAR,2023-12-30,OPERACION,2024-05-13
Sistema,3ISD,AGPE ORF SA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ISGC,RAD SOLAR,2023-10-01,OPERACION,2024-05-13
Sistema,3ITE,AGPE UNICOR JUANITA ISAZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITG,AGPE INVERSIONES MONGNE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITI,AGPE GERMAN FRANCISCO MORON,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITK,AGPE INDUSTRIAS MACAR PALMIRA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,QIEC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITM,AGPE HACIENDA SAN FELIPE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITO,AGPE NUTRILACTEOS DEL SUR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3ITQ,AGPE HOTEL ASTOR BYHOURS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-10-05,OPERACION,2024-05-13
Sistema,3IUT,AGPE RESIDENCIA SIGLO XXI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-10-10,OPERACION,2024-05-13
Sistema,3IUZ,AGPE LADRILLERA SANTANDER,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,FERC,RAD SOLAR,2023-10-12,OPERACION,2024-05-13
Sistema,3IZ6,PARQUE SOLAR LA UNION,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SLUG,RAD SOLAR,2023-02-28,PRUEBAS,2024-05-13
Sistema,3IZQ,AGPE FARMATODO MANGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-10-26,OPERACION,2024-05-13
Sistema,3IZS,AGPE IML ETIQUETAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2023-10-26,OPERACION,2024-05-13
Sistema,3IZU,AGPE RAMIREZ ZULUAGA E HIJOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,QIEC,RAD SOLAR,2023-10-26,OPERACION,2024-05-13
Sistema,3IZW,AGPE COMFENALCO QUINDIO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPMC,RAD SOLAR,2023-10-26,OPERACION,2024-05-13
Sistema,3J1J,PARQUE SOLAR HONDA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2023-12-28,OPERACION,2024-05-13
Sistema,3J2B,SOLAR PLANETA RICA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2024-04-17,OPERACION,2024-05-13
Sistema,3J2H,PETALO DE CORDOBA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,BCCG,RAD SOLAR,2023-12-16,OPERACION,2024-05-13
Sistema,3J2K,AGPE DISPROLACTEOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-11-16,OPERACION,2024-05-13
Sistema,3J2O,AGPE BODYTECH CHICO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EXEC,RAD SOLAR,2023-11-16,OPERACION,2024-05-13
Sistema,3J2Q,AGPE LA CORSARIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RTQC,RAD SOLAR,2023-11-16,OPERACION,2024-05-13
Sistema,3J2Y,AGPE HUMAX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J31,AGPE EDS SAN RAFAEL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J33,AGPE GRAFICAS DIAMANTE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J35,AGPE EDIFICIO V1501,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ASCC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J37,AGPE INVERSIONES PASTO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ASCC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J39,AGPE MAXXILLANTAS NO2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
Sistema,3J3B,AGPE BELLAVISTA COAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2023-11-23,OPERACION,2024-05-13
