,id,Modelo,Neuronas,LookBack,Elementos,Optimizador,Epocas,BatchSize,MAE,MSE,RMSE,MAPE
1,1,GRU,25,60,30,adam,20,32,0.05245048004426267,0.003164151852089156,0.0562507942351853,39.66898946882168
2,2,GRU,25,60,30,adam,20,64,0.04257199513949659,0.0022295946325923887,0.047218583551313656,32.95084812678863
3,3,GRU,25,60,30,adam,30,32,0.031296684324012024,0.0012975143015789223,0.03602102582629931,25.75544029201221
4,4,GRU,25,60,30,adam,30,64,0.024662803135541655,0.0008568607062411995,0.029272183147848737,21.313091798500743
5,5,GRU,25,60,30,adam,40,32,0.021900763633079905,0.0006764288184250692,0.026008245200802558,20.671334506068384
6,6,GRU,25,60,30,adam,40,64,0.030593752236827882,0.0012071813362635677,0.034744515196841755,25.785139394540302
7,7,GRU,50,60,30,adam,20,32,0.015912596229907167,0.0004043435596346006,0.020108295791404118,17.760268397520132
8,8,GRU,50,60,30,adam,20,64,0.014996965918496991,0.0003555943185200712,0.018857208661943348,17.40428656980898
9,9,GRU,50,60,30,adam,30,32,0.01815190953970276,0.000499285820355,0.022344704526016897,19.230273287516493
10,10,GRU,50,60,30,adam,30,64,0.024665179530760417,0.000842809206403191,0.029031176455720686,23.51329602896842
11,11,GRU,50,60,30,adam,40,32,0.022913821362401766,0.0007908971352959418,0.028122893437481533,23.96435749491597
12,12,GRU,50,60,30,adam,40,64,0.017547836513561607,0.00047180961555086376,0.021721178963188526,20.610611626816944
13,13,GRU,100,60,30,adam,20,32,0.025813369456289714,0.0009197332501833073,0.030327104216909786,21.485447141916435
14,14,GRU,100,60,30,adam,20,64,0.047184749921537504,0.0027112368942297533,0.05206953902455593,36.328799914826924
15,15,GRU,100,60,30,adam,30,32,0.04015227752961423,0.0019307263337544607,0.04394003110780033,31.74059524555193
16,16,GRU,100,60,30,adam,30,64,0.02615788730206845,0.0009575513281876548,0.030944326268116662,23.082949713884222
17,17,GRU,100,60,30,adam,40,32,0.028900946194558963,0.0011062266739087702,0.033259986078000243,24.82715910424368
18,18,GRU,100,60,30,adam,40,64,0.017546067922619087,0.0004910979697436281,0.022160730352216013,19.446948297433213
19,19,GRU,25,70,30,adam,20,32,0.031024280508389145,0.0011868719694922976,0.034451008250736256,21.656035138313847
20,20,GRU,25,70,30,adam,20,64,0.025701884994934074,0.0008917918780451124,0.029862884623644656,19.69191806023913
21,21,GRU,25,70,30,adam,30,32,0.026741524160343588,0.000971438076003709,0.03116790137310674,20.54086728923971
22,22,GRU,25,70,30,adam,30,64,0.01781329512098565,0.00045708922674276827,0.021379645150066646,17.44250786227772
23,23,GRU,25,70,30,adam,40,32,0.019203919680797207,0.0005462499119618021,0.02337198990162802,19.716785844716387
24,24,GRU,25,70,30,adam,40,64,0.021162682038429532,0.0006086921566889673,0.024671687349854435,20.51054735162495
25,25,GRU,50,70,30,adam,20,32,0.015363216261337596,0.0004176204033124004,0.02043576285124684,17.41269335408665
26,26,GRU,50,70,30,adam,20,64,0.015208833611780702,0.00033531990303264063,0.018311742217294362,15.849202529911011
27,27,GRU,50,70,30,adam,30,32,0.013924808810934839,0.00029985127642741743,0.017316214263730322,17.080301359375937
28,28,GRU,50,70,30,adam,30,64,0.01648316736485704,0.00042748984553961686,0.020675827566015752,19.09067987742311
29,29,GRU,50,70,30,adam,40,32,0.03461977989934844,0.001554361302780863,0.03942538906315146,30.073028352560655
30,30,GRU,50,70,30,adam,40,64,0.01780677700168043,0.0005294200263670426,0.02300912919619173,21.108313063582195
31,31,GRU,100,70,30,adam,20,32,0.01390541015456313,0.00029272316603551275,0.017109154451214494,15.547315673151418
32,32,GRU,100,70,30,adam,20,64,0.03131411275727513,0.0012869894117867608,0.035874634657188646,26.277419799737693
33,33,GRU,100,70,30,adam,30,32,0.047355791410184964,0.0026089481556342956,0.05107786365573932,36.79255783456847
34,34,GRU,100,70,30,adam,30,64,0.03346294563475214,0.0014423242766550782,0.03797794460808902,28.29377540209218
35,35,GRU,100,70,30,adam,40,32,0.04306848444578753,0.0021924712679190256,0.04682383226433977,34.222192362890944
36,36,GRU,100,70,30,adam,40,64,0.0370968326731295,0.0016895701351901744,0.041104380973202535,30.51491223190593
37,37,GRU,25,80,30,adam,20,32,0.03605069167337301,0.0015641459119313842,0.0395492845944321,24.259989463241936
38,38,GRU,25,80,30,adam,20,64,0.03657753563842657,0.001593753222024697,0.03992183891086052,24.95289680495576
39,39,GRU,25,80,30,adam,30,32,0.014678268899393223,0.00037274528460463344,0.019306612458031922,18.288599550165255
40,40,GRU,25,80,30,adam,30,64,0.015168058096342283,0.00032364995636573505,0.017990273938040383,16.57682248774443
41,41,GRU,25,80,30,adam,40,32,0.014553271664783346,0.0003667795907051592,0.01915149056092395,18.889068075933977
42,42,GRU,25,80,30,adam,40,64,0.016244455787714066,0.0003471082342851005,0.018630840944120063,16.590588321665695
43,43,GRU,50,80,30,adam,20,32,0.012973927007826049,0.0002644222583198327,0.016261065719067515,16.028664271731387
44,44,GRU,50,80,30,adam,20,64,0.01275257201677527,0.00025921867715804364,0.0161002694747027,15.912271526905371
45,45,GRU,50,80,30,adam,30,32,0.039183736358711745,0.0018384179815613996,0.042876776716089554,30.88491083802526
46,46,GRU,50,80,30,adam,30,64,0.03860001466138127,0.0017865099600065863,0.04226712623312101,30.567940275427418
47,47,GRU,50,80,30,adam,40,32,0.015360886494532983,0.0003219341019733579,0.01794252217424735,15.204010822751982
48,48,GRU,50,80,30,adam,40,64,0.019306209474113687,0.0005482483306537776,0.02341470330057115,19.521014542447958
49,49,GRU,100,80,30,adam,20,32,0.030870727865609168,0.0012055823248042245,0.03472149658070954,22.68271943684449
50,50,GRU,100,80,30,adam,20,64,0.014343275430989682,0.0003411622593911382,0.018470578209442666,18.212721128333776
51,51,GRU,100,80,30,adam,30,32,0.014373847376225825,0.00028990199817015554,0.017026508689985613,16.665264266382813
52,52,GRU,100,80,30,adam,30,64,0.013973104826235884,0.00029156758638926707,0.017075350256708265,17.435603884332906
53,53,GRU,100,80,30,adam,40,32,0.022540199935417147,0.0007213217643820068,0.026857434061764107,23.363083919918594
54,54,GRU,100,80,30,adam,40,64,0.01815187917276482,0.0005180750628495418,0.022761262329878407,21.091467596193134
